,id_subsistema,nom_subsistema,din_instante,val_cargaenergiamwmed
2,S,Sul,2012-01-01,6660.09029167
6,S,Sul,2012-01-02,8591.104625
10,S,Sul,2012-01-03,9636.30966667
14,S,Sul,2012-01-04,10106.2445
18,S,Sul,2012-01-05,10181.15195833
22,S,Sul,2012-01-06,10381.13416667
26,S,Sul,2012-01-07,9475.47595833
30,S,Sul,2012-01-08,8367.56116667
34,S,Sul,2012-01-09,10753.53045833
38,S,Sul,2012-01-10,11137.03329167
42,S,Sul,2012-01-11,11258.12454167
46,S,Sul,2012-01-12,11313.59875
50,S,Sul,2012-01-13,10864.32875
54,S,Sul,2012-01-14,9089.76825
58,S,Sul,2012-01-15,7753.13033333
62,S,Sul,2012-01-16,10256.922625
66,S,Sul,2012-01-17,10958.07745833
70,S,Sul,2012-01-18,11140.6905
74,S,Sul,2012-01-19,11176.65566667
78,S,Sul,2012-01-20,11359.703375
82,S,Sul,2012-01-21,9913.41054167
86,S,Sul,2012-01-22,8561.55858333
90,S,Sul,2012-01-23,11428.915875
94,S,Sul,2012-01-24,11829.323
98,S,Sul,2012-01-25,11409.46720833
102,S,Sul,2012-01-26,10829.92829167
106,S,Sul,2012-01-27,10575.68283333
110,S,Sul,2012-01-28,9323.766375
114,S,Sul,2012-01-29,8187.373875
118,S,Sul,2012-01-30,11074.953625
122,S,Sul,2012-01-31,11718.27991667
126,S,Sul,2012-02-01,11894.39225
130,S,Sul,2012-02-02,11823.89654167
134,S,Sul,2012-02-03,12046.937
138,S,Sul,2012-02-04,10379.6495
142,S,Sul,2012-02-05,8939.7665
146,S,Sul,2012-02-06,11690.74295833
150,S,Sul,2012-02-07,12015.20858333
154,S,Sul,2012-02-08,12101.31283333
158,S,Sul,2012-02-09,11940.00545833
162,S,Sul,2012-02-10,11446.66004167
166,S,Sul,2012-02-11,9743.356625
170,S,Sul,2012-02-12,8434.88475
174,S,Sul,2012-02-13,11240.24191667
178,S,Sul,2012-02-14,11767.22883333
182,S,Sul,2012-02-15,11984.026625
186,S,Sul,2012-02-16,12254.139125
190,S,Sul,2012-02-17,12215.08929167
194,S,Sul,2012-02-18,10411.08925
198,S,Sul,2012-02-19,9011.934
202,S,Sul,2012-02-20,10348.53291667
206,S,Sul,2012-02-21,10124.02495833
210,S,Sul,2012-02-22,11092.34175
214,S,Sul,2012-02-23,11610.445
218,S,Sul,2012-02-24,11686.59345833
222,S,Sul,2012-02-25,9945.480375
226,S,Sul,2012-02-26,8445.36808333
230,S,Sul,2012-02-27,11222.33504167
234,S,Sul,2012-02-28,11449.329
238,S,Sul,2012-02-29,11536.60075
242,S,Sul,2012-03-01,11184.274125
246,S,Sul,2012-03-02,11109.255625
250,S,Sul,2012-03-03,9635.77691667
254,S,Sul,2012-03-04,8521.93979167
258,S,Sul,2012-03-05,11738.2885
262,S,Sul,2012-03-06,12241.265125
266,S,Sul,2012-03-07,12377.279
270,S,Sul,2012-03-08,12259.16329167
274,S,Sul,2012-03-09,11961.59870833
278,S,Sul,2012-03-10,10330.791375
282,S,Sul,2012-03-11,9054.328375
286,S,Sul,2012-03-12,12010.60520833
290,S,Sul,2012-03-13,12305.00683333
294,S,Sul,2012-03-14,11733.35279167
298,S,Sul,2012-03-15,11282.07383333
302,S,Sul,2012-03-16,10888.11016667
306,S,Sul,2012-03-17,9544.70366667
310,S,Sul,2012-03-18,8121.73095833
314,S,Sul,2012-03-19,10913.08375
318,S,Sul,2012-03-20,11452.86504167
322,S,Sul,2012-03-21,11342.26270833
326,S,Sul,2012-03-22,11085.288125
330,S,Sul,2012-03-23,10917.635
334,S,Sul,2012-03-24,9315.53845833
338,S,Sul,2012-03-25,7716.23720833
342,S,Sul,2012-03-26,10331.71625
346,S,Sul,2012-03-27,10454.57541667
350,S,Sul,2012-03-28,10116.72808333
354,S,Sul,2012-03-29,10272.93695833
358,S,Sul,2012-03-30,10419.05008333
362,S,Sul,2012-03-31,9143.92608333
366,S,Sul,2012-04-01,7904.81079167
370,S,Sul,2012-04-02,10495.88979167
374,S,Sul,2012-04-03,10948.632125
378,S,Sul,2012-04-04,11179.75208333
382,S,Sul,2012-04-05,10499.01641667
386,S,Sul,2012-04-06,7697.32391667
390,S,Sul,2012-04-07,8170.75504167
394,S,Sul,2012-04-08,7485.98220833
398,S,Sul,2012-04-09,10067.16054167
402,S,Sul,2012-04-10,10653.04404167
406,S,Sul,2012-04-11,10909.32870833
410,S,Sul,2012-04-12,11014.18291667
414,S,Sul,2012-04-13,11089.45270833
418,S,Sul,2012-04-14,9436.53295833
422,S,Sul,2012-04-15,7812.82766667
426,S,Sul,2012-04-16,10168.58095833
430,S,Sul,2012-04-17,10581.2335
434,S,Sul,2012-04-18,10770.93370833
438,S,Sul,2012-04-19,10732.20904167
442,S,Sul,2012-04-20,10875.502625
446,S,Sul,2012-04-21,8812.97133333
450,S,Sul,2012-04-22,7712.47775
454,S,Sul,2012-04-23,10166.66595833
458,S,Sul,2012-04-24,10522.81541667
462,S,Sul,2012-04-25,10543.97808333
466,S,Sul,2012-04-26,10359.9525
470,S,Sul,2012-04-27,10172.88883333
474,S,Sul,2012-04-28,8829.115625
478,S,Sul,2012-04-29,7200.40816667
482,S,Sul,2012-04-30,8950.6285
486,S,Sul,2012-05-01,7600.92020833
490,S,Sul,2012-05-02,9815.74879167
494,S,Sul,2012-05-03,10163.72116667
498,S,Sul,2012-05-04,10356.71141667
502,S,Sul,2012-05-05,9094.68116667
506,S,Sul,2012-05-06,7693.36441667
510,S,Sul,2012-05-07,10030.10125
514,S,Sul,2012-05-08,10466.98870833
518,S,Sul,2012-05-09,10569.41500833
522,S,Sul,2012-05-10,10564.38175
526,S,Sul,2012-05-11,10531.11135833
530,S,Sul,2012-05-12,8999.33225
534,S,Sul,2012-05-13,7385.52233333
538,S,Sul,2012-05-14,9995.65019167
542,S,Sul,2012-05-15,10389.221775
546,S,Sul,2012-05-16,10340.54026667
550,S,Sul,2012-05-17,10216.17195
554,S,Sul,2012-05-18,10163.48664167
558,S,Sul,2012-05-19,8859.364425
562,S,Sul,2012-05-20,7454.12634167
566,S,Sul,2012-05-21,10016.95058333
