id_subsistema;nom_subsistema;din_instante;val_cargaenergiahomwmed
N;NORTE;2024-01-01 00:00:00;6539.55999999
NE;NORDESTE;2024-01-01 00:00:00;11976.88400000
S;SUL;2024-01-01 00:00:00;9966.97200000
SE;SUDESTE;2024-01-01 00:00:00;34981.61400000
N;NORTE;2024-01-01 01:00:00;6614.83599999
NE;NORDESTE;2024-01-01 01:00:00;12152.31599999
S;SUL;2024-01-01 01:00:00;10010.32799999
SE;SUDESTE;2024-01-01 01:00:00;34968.06300000
N;NORTE;2024-01-01 02:00:00;6724.34299999
NE;NORDESTE;2024-01-01 02:00:00;12259.74400000
S;SUL;2024-01-01 02:00:00;9742.26399999
SE;SUDESTE;2024-01-01 02:00:00;34671.58099999
N;NORTE;2024-01-01 03:00:00;6757.85700000
NE;NORDESTE;2024-01-01 03:00:00;12240.16900000
S;SUL;2024-01-01 03:00:00;9420.87199999
SE;SUDESTE;2024-01-01 03:00:00;34035.34399999
N;NORTE;2024-01-01 04:00:00;6757.05500000
NE;NORDESTE;2024-01-01 04:00:00;12091.74900000
S;SUL;2024-01-01 04:00:00;9258.31900000
SE;SUDESTE;2024-01-01 04:00:00;33420.27199999
N;NORTE;2024-01-01 05:00:00;6711.10499999
NE;NORDESTE;2024-01-01 05:00:00;11516.34400000
S;SUL;2024-01-01 05:00:00;8929.82400000
SE;SUDESTE;2024-01-01 05:00:00;32566.14699999
N;NORTE;2024-01-01 06:00:00;6496.01399999
NE;NORDESTE;2024-01-01 06:00:00;11268.57000000
S;SUL;2024-01-01 06:00:00;8906.15699999
SE;SUDESTE;2024-01-01 06:00:00;31666.95300000
N;NORTE;2024-01-01 07:00:00;6216.58700000
NE;NORDESTE;2024-01-01 07:00:00;11147.05699999
S;SUL;2024-01-01 07:00:00;9195.85399999
SE;SUDESTE;2024-01-01 07:00:00;31586.89099999
N;NORTE;2024-01-01 08:00:00;6139.51700000
NE;NORDESTE;2024-01-01 08:00:00;11034.39799999
S;SUL;2024-01-01 08:00:00;9342.33499999
SE;SUDESTE;2024-01-01 08:00:00;31968.85400000
N;NORTE;2024-01-01 09:00:00;6070.08600000
NE;NORDESTE;2024-01-01 09:00:00;10766.85199999
S;SUL;2024-01-01 09:00:00;9656.68500000
SE;SUDESTE;2024-01-01 09:00:00;32524.47100000
N;NORTE;2024-01-01 10:00:00;6047.08000000
NE;NORDESTE;2024-01-01 10:00:00;10805.03199999
S;SUL;2024-01-01 10:00:00;9967.48200000
SE;SUDESTE;2024-01-01 10:00:00;33201.96100000
N;NORTE;2024-01-01 11:00:00;6008.25900000
NE;NORDESTE;2024-01-01 11:00:00;10791.83499999
S;SUL;2024-01-01 11:00:00;10177.89499999
SE;SUDESTE;2024-01-01 11:00:00;33696.33799999
N;NORTE;2024-01-01 12:00:00;5816.48700000
NE;NORDESTE;2024-01-01 12:00:00;10738.26199999
S;SUL;2024-01-01 12:00:00;10093.75600000
SE;SUDESTE;2024-01-01 12:00:00;34121.33000000
N;NORTE;2024-01-01 13:00:00;5867.43499999
NE;NORDESTE;2024-01-01 13:00:00;10625.94699999
S;SUL;2024-01-01 13:00:00;10023.17000000
SE;SUDESTE;2024-01-01 13:00:00;33730.23299999
N;NORTE;2024-01-01 14:00:00;6089.52399999
NE;NORDESTE;2024-01-01 14:00:00;10559.42900000
S;SUL;2024-01-01 14:00:00;10036.39699999
SE;SUDESTE;2024-01-01 14:00:00;33299.40300000
N;NORTE;2024-01-01 15:00:00;6240.98800000
NE;NORDESTE;2024-01-01 15:00:00;10563.87500000
S;SUL;2024-01-01 15:00:00;10126.79300000
SE;SUDESTE;2024-01-01 15:00:00;33289.91000000
N;NORTE;2024-01-01 16:00:00;6296.92399999
NE;NORDESTE;2024-01-01 16:00:00;10628.63699999
S;SUL;2024-01-01 16:00:00;10460.56000000
SE;SUDESTE;2024-01-01 16:00:00;34092.78300000
N;NORTE;2024-01-01 17:00:00;6330.95699999
NE;NORDESTE;2024-01-01 17:00:00;11204.20200000
S;SUL;2024-01-01 17:00:00;10982.15499999
SE;SUDESTE;2024-01-01 17:00:00;35239.11000000
N;NORTE;2024-01-01 18:00:00;6613.57000000
NE;NORDESTE;2024-01-01 18:00:00;12407.21300000
S;SUL;2024-01-01 18:00:00;11392.91900000
SE;SUDESTE;2024-01-01 18:00:00;37308.16199999
N;NORTE;2024-01-01 19:00:00;6963.04300000
NE;NORDESTE;2024-01-01 19:00:00;12815.30200000
S;SUL;2024-01-01 19:00:00;12374.94400000
SE;SUDESTE;2024-01-01 19:00:00;40926.58099999
N;NORTE;2024-01-01 20:00:00;7135.54000000
NE;NORDESTE;2024-01-01 20:00:00;12895.83600000
S;SUL;2024-01-01 20:00:00;13157.18499999
SE;SUDESTE;2024-01-01 20:00:00;41627.02099999
N;NORTE;2024-01-01 21:00:00;7338.39800000
NE;NORDESTE;2024-01-01 21:00:00;13140.17500000
S;SUL;2024-01-01 21:00:00;13116.84699999
SE;SUDESTE;2024-01-01 21:00:00;41040.77100000
N;NORTE;2024-01-01 22:00:00;7498.77900000
NE;NORDESTE;2024-01-01 22:00:00;13232.27000000
S;SUL;2024-01-01 22:00:00;12821.06100000
SE;SUDESTE;2024-01-01 22:00:00;40068.40100000
N;NORTE;2024-01-01 23:00:00;7517.72100000
NE;NORDESTE;2024-01-01 23:00:00;12947.66400000
S;SUL;2024-01-01 23:00:00;12176.90499999
SE;SUDESTE;2024-01-01 23:00:00;38113.08699999
N;NORTE;2024-01-02 00:00:00;7463.09299999
NE;NORDESTE;2024-01-02 00:00:00;12543.28899999
S;SUL;2024-01-02 00:00:00;11483.81000000
SE;SUDESTE;2024-01-02 00:00:00;36472.09799999
N;NORTE;2024-01-02 01:00:00;7355.90500000
NE;NORDESTE;2024-01-02 01:00:00;12218.98200000
S;SUL;2024-01-02 01:00:00;10793.31099999
SE;SUDESTE;2024-01-02 01:00:00;34893.14499999
N;NORTE;2024-01-02 02:00:00;7246.54600000
NE;NORDESTE;2024-01-02 02:00:00;11983.05200000
S;SUL;2024-01-02 02:00:00;10497.51299999
SE;SUDESTE;2024-01-02 02:00:00;33837.95199999
N;NORTE;2024-01-02 03:00:00;7133.26500000
NE;NORDESTE;2024-01-02 03:00:00;11775.61800000
S;SUL;2024-01-02 03:00:00;10334.08599999
SE;SUDESTE;2024-01-02 03:00:00;33352.39900000
N;NORTE;2024-01-02 04:00:00;7041.55400000
NE;NORDESTE;2024-01-02 04:00:00;11688.44700000
S;SUL;2024-01-02 04:00:00;10249.56699999
SE;SUDESTE;2024-01-02 04:00:00;33438.50399999
N;NORTE;2024-01-02 05:00:00;6922.72199999
NE;NORDESTE;2024-01-02 05:00:00;11175.95900000
S;SUL;2024-01-02 05:00:00;10306.82100000
SE;SUDESTE;2024-01-02 05:00:00;33643.44199999
N;NORTE;2024-01-02 06:00:00;6686.80700000
NE;NORDESTE;2024-01-02 06:00:00;11023.99700000
S;SUL;2024-01-02 06:00:00;10929.85299999
SE;SUDESTE;2024-01-02 06:00:00;35007.36500000
N;NORTE;2024-01-02 07:00:00;6614.61900000
NE;NORDESTE;2024-01-02 07:00:00;11505.02300000
S;SUL;2024-01-02 07:00:00;12047.19699999
SE;SUDESTE;2024-01-02 07:00:00;37745.80500000
N;NORTE;2024-01-02 08:00:00;6712.24799999
NE;NORDESTE;2024-01-02 08:00:00;12125.11699999
S;SUL;2024-01-02 08:00:00;13088.87400000
SE;SUDESTE;2024-01-02 08:00:00;40481.77799999
N;NORTE;2024-01-02 09:00:00;6900.83300000
NE;NORDESTE;2024-01-02 09:00:00;12221.62799999
S;SUL;2024-01-02 09:00:00;13730.24800000
SE;SUDESTE;2024-01-02 09:00:00;42180.56300000
N;NORTE;2024-01-02 10:00:00;7112.38700000
NE;NORDESTE;2024-01-02 10:00:00;12458.78999999
S;SUL;2024-01-02 10:00:00;14291.65700000
SE;SUDESTE;2024-01-02 10:00:00;43159.88400000
N;NORTE;2024-01-02 11:00:00;7150.01700000
NE;NORDESTE;2024-01-02 11:00:00;12658.57000000
S;SUL;2024-01-02 11:00:00;14802.83600000
SE;SUDESTE;2024-01-02 11:00:00;43290.28200000
N;NORTE;2024-01-02 12:00:00;7023.49100000
NE;NORDESTE;2024-01-02 12:00:00;12306.92600000
S;SUL;2024-01-02 12:00:00;14152.16900000
SE;SUDESTE;2024-01-02 12:00:00;43391.21699999
N;NORTE;2024-01-02 13:00:00;7068.10000000
NE;NORDESTE;2024-01-02 13:00:00;12579.88400000
S;SUL;2024-01-02 13:00:00;14290.32300000
SE;SUDESTE;2024-01-02 13:00:00;44597.03499999
N;NORTE;2024-01-02 14:00:00;7329.88400000
NE;NORDESTE;2024-01-02 14:00:00;12943.78300000
S;SUL;2024-01-02 14:00:00;14643.88400000
SE;SUDESTE;2024-01-02 14:00:00;45414.68599999
N;NORTE;2024-01-02 15:00:00;7419.56299999
NE;NORDESTE;2024-01-02 15:00:00;13050.72200000
S;SUL;2024-01-02 15:00:00;14573.51300000
SE;SUDESTE;2024-01-02 15:00:00;45769.11100000
N;NORTE;2024-01-02 16:00:00;7341.87800000
NE;NORDESTE;2024-01-02 16:00:00;13148.08600000
S;SUL;2024-01-02 16:00:00;14390.45300000
SE;SUDESTE;2024-01-02 16:00:00;46161.29400000
N;NORTE;2024-01-02 17:00:00;7083.87200000
NE;NORDESTE;2024-01-02 17:00:00;12964.26800000
S;SUL;2024-01-02 17:00:00;13948.87500000
SE;SUDESTE;2024-01-02 17:00:00;44797.87699999
N;NORTE;2024-01-02 18:00:00;6928.62599999
NE;NORDESTE;2024-01-02 18:00:00;13429.42400000
S;SUL;2024-01-02 18:00:00;13349.94299999
SE;SUDESTE;2024-01-02 18:00:00;44779.46799999
N;NORTE;2024-01-02 19:00:00;7153.30300000
NE;NORDESTE;2024-01-02 19:00:00;13703.56900000
S;SUL;2024-01-02 19:00:00;13985.85200000
SE;SUDESTE;2024-01-02 19:00:00;47227.41600000
N;NORTE;2024-01-02 20:00:00;7335.04800000
NE;NORDESTE;2024-01-02 20:00:00;13758.99399999
S;SUL;2024-01-02 20:00:00;14425.61900000
SE;SUDESTE;2024-01-02 20:00:00;47545.06900000
N;NORTE;2024-01-02 21:00:00;7481.42000000
NE;NORDESTE;2024-01-02 21:00:00;14125.16700000
S;SUL;2024-01-02 21:00:00;14182.33499999
SE;SUDESTE;2024-01-02 21:00:00;46882.97100000
N;NORTE;2024-01-02 22:00:00;7599.21100000
NE;NORDESTE;2024-01-02 22:00:00;14155.64800000
S;SUL;2024-01-02 22:00:00;13641.97500000
SE;SUDESTE;2024-01-02 22:00:00;45273.03900000
N;NORTE;2024-01-02 23:00:00;7599.63200000
NE;NORDESTE;2024-01-02 23:00:00;13886.86699999
S;SUL;2024-01-02 23:00:00;12805.33200000
SE;SUDESTE;2024-01-02 23:00:00;42998.02099999
N;NORTE;2024-01-03 00:00:00;7506.32000000
NE;NORDESTE;2024-01-03 00:00:00;13486.13499999
S;SUL;2024-01-03 00:00:00;11972.83800000
SE;SUDESTE;2024-01-03 00:00:00;40826.32299999
N;NORTE;2024-01-03 01:00:00;7363.49500000
